英雄名称,图片地址,详情地址
白起,https://game.gtimg.cn/images/yxzj/img201606/heroimg/120/120.jpg,https://pvp.qq.com/web201605/herodetail/120.shtml
扁鹊,https://game.gtimg.cn/images/yxzj/img201606/heroimg/119/119.jpg,https://pvp.qq.com/web201605/herodetail/119.shtml
孙膑,https://game.gtimg.cn/images/yxzj/img201606/heroimg/118/118.jpg,https://pvp.qq.com/web201605/herodetail/118.shtml
钟无艳,https://game.gtimg.cn/images/yxzj/img201606/heroimg/117/117.jpg,https://pvp.qq.com/web201605/herodetail/117.shtml
阿轲,https://game.gtimg.cn/images/yxzj/img201606/heroimg/116/116.jpg,https://pvp.qq.com/web201605/herodetail/116.shtml
高渐离,https://game.gtimg.cn/images/yxzj/img201606/heroimg/115/115.jpg,https://pvp.qq.com/web201605/herodetail/115.shtml
刘禅,https://game.gtimg.cn/images/yxzj/img201606/heroimg/114/114.jpg,https://pvp.qq.com/web201605/herodetail/114.shtml
庄周,https://game.gtimg.cn/images/yxzj/img201606/heroimg/113/113.jpg,https://pvp.qq.com/web201605/herodetail/113.shtml
鲁班七号,https://game.gtimg.cn/images/yxzj/img201606/heroimg/112/112.jpg,https://pvp.qq.com/web201605/herodetail/112.shtml
孙尚香,https://game.gtimg.cn/images/yxzj/img201606/heroimg/111/111.jpg,https://pvp.qq.com/web201605/herodetail/111.shtml
嬴政,https://game.gtimg.cn/images/yxzj/img201606/heroimg/110/110.jpg,https://pvp.qq.com/web201605/herodetail/110.shtml
妲己,https://game.gtimg.cn/images/yxzj/img201606/heroimg/109/109.jpg,https://pvp.qq.com/web201605/herodetail/109.shtml
墨子,https://game.gtimg.cn/images/yxzj/img201606/heroimg/108/108.jpg,https://pvp.qq.com/web201605/herodetail/108.shtml
赵云,https://game.gtimg.cn/images/yxzj/img201606/heroimg/107/107.jpg,https://pvp.qq.com/web201605/herodetail/107.shtml
小乔,https://game.gtimg.cn/images/yxzj/img201606/heroimg/106/106.jpg,https://pvp.qq.com/web201605/herodetail/106.shtml
廉颇,https://game.gtimg.cn/images/yxzj/img201606/heroimg/105/105.jpg,https://pvp.qq.com/web201605/herodetail/105.shtml
